,Geschlecht,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,pl1,pl2,pl3,pl4,pl5,pl6,pl7,pl8,pl9,pl10,pl11,pl12,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12
0,1,5,2,5,5,4,2,4,6,2,6,2,5,2,2,5,1,2,2,2,2,6,2,2,5,5,3,2,2,5,4,2,3,1,3,4,2
1,2,4,2,4,3,2,3,1,3,4,4,3,3,2,3,4,2,2,1,2,2,5,1,1,4,3,2,3,1,5,5,3,3,2,4,1,4
2,1,3,2,3,4,3,2,4,3,2,5,3,4,3,2,4,2,2,3,2,4,4,2,3,4,3,2,1,2,4,5,2,2,2,5,4,2
3,2,5,2,6,6,5,2,4,5,3,5,3,5,1,4,5,1,2,2,3,2,5,1,1,4,5,3,3,3,5,3,2,4,3,4,4,3
4,1,3,5,4,2,1,4,1,3,3,4,4,2,2,5,3,2,3,2,2,2,4,3,3,4,2,4,1,2,3,3,3,2,2,2,3,2
5,1,4,4,3,3,2,3,3,3,4,4,3,3,3,2,4,4,4,2,1,2,4,2,2,4,4,4,3,4,3,3,3,4,2,2,4,3
6,2,4,2,5,4,5,2,4,4,2,4,3,4,2,2,3,1,2,2,2,2,4,2,2,4,2,2,2,1,5,4,2,2,2,4,2,2
7,1,4,2,5,4,4,2,4,5,2,5,2,4,2,3,5,1,1,3,2,3,5,2,3,4,3,2,1,3,4,5,3,2,2,3,2,2
8,1,5,2,6,5,4,3,4,4,1,5,2,6,2,2,5,2,2,1,2,4,4,2,2,4,5,2,1,3,4,4,2,2,1,3,2,2
9,1,5,2,5,4,3,1,3,3,2,6,3,4,2,2,3,2,2,2,1,3,3,1,2,5,3,3,2,2,5,5,2,3,2,3,3,2
10,1,3,2,3,3,3,3,4,2,2,4,3,3,3,3,3,2,2,2,2,2,3,2,2,3,3,3,3,4,2,3,3,4,2,2,3,4
11,1,5,3,5,6,3,3,4,2,1,5,1,4,1,1,5,3,1,1,2,3,4,1,1,3,3,1,1,3,5,5,2,3,1,3,3,4
12,2,5,4,5,5,4,3,5,2,3,5,5,5,3,3,4,2,3,2,3,5,2,3,2,5,2,2,3,3,5,5,2,4,2,5,2,2
13,1,5,5,6,4,4,1,2,4,3,4,2,4,3,3,5,2,2,3,3,6,5,3,3,2,3,2,3,4,4,4,3,6,1,4,5,4
14,1,3,3,5,3,2,3,2,3,4,5,4,3,3,2,4,3,4,1,1,2,2,1,3,5,4,4,4,4,3,2,4,4,3,2,5,4
